policy,trial_id,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
weighted_score,37,8,16,10622,10622,0,7553,7553,0,0,0.029138009272721425,0.6909538151362343,0.9661815805863513
reset_aware_weekly_priority,37,8,16,10518,10518,0,7501,7501,0,0,0.04111295045969223,0.6800083047714566,0.9638895354311765
five_hour_first,38,4,19,8449,7156,1293,6136,5064,0,0,0.0,1.0,0.849198234116718
seven_day_first,38,4,19,8521,7156,1365,6129,5085,0,0,0.0,1.0,0.8452808393739507
weighted_score,38,4,19,8666,7156,1510,6137,5033,0,0,0.0,1.0,0.8330559652606361
reset_aware_weekly_priority,38,4,19,8502,7156,1346,6112,5134,0,0,0.0,1.0,0.8491757444506436
five_hour_first,39,3,14,6405,3478,2927,4510,2370,0,0,0.0,1.0,0.5614840124556237
seven_day_first,39,3,14,6163,3478,2685,4452,2513,0,0,0.0,1.0,0.5861512378089165
weighted_score,39,3,14,6307,3478,2829,4472,2485,0,0,0.0,1.0,0.574935484623525
reset_aware_weekly_priority,39,3,14,6368,3478,2890,4546,2431,2,2,0.0,1.0,0.5660067965211009
five_hour_first,40,2,7,5607,2542,3065,4415,1860,0,0,0.0,1.0,0.47267607167145254
seven_day_first,40,2,7,5682,2542,3140,4570,1905,23,10,0.0,1.0,0.38259402387354985
weighted_score,40,2,7,5603,2542,3061,4516,1898,0,0,0.0,1.0,0.47265072709530054
reset_aware_weekly_priority,40,2,7,5325,2542,2783,4205,1917,267,19,0.0,1.0,0.35880524426110616
five_hour_first,41,5,16,9711,8724,987,7273,6332,0,0,0.0,1.0,0.8965082150089745
seven_day_first,41,5,16,9588,8724,864,7236,6425,0,0,0.0,1.0,0.9089015273375856
weighted_score,41,5,16,10023,8724,1299,7581,6319,0,0,0.0,1.0,0.8676614581871273
reset_aware_weekly_priority,41,5,16,9647,8724,923,7189,6311,0,0,0.0,1.0,0.902493052752135
five_hour_first,42,2,10,6031,4344,1687,4171,2914,47,0,0.0,1.0,0.5788533478490279
seven_day_first,42,2,10,5979,4344,1635,4088,2876,114,23,0.0,1.0,0.6147238142231977
weighted_score,42,2,10,5860,4344,1516,4052,2914,86,17,0.0,1.0,0.6283467717513423
reset_aware_weekly_priority,42,2,10,5885,4344,1541,4097,2998,94,24,0.0,1.0,0.63794009143312
five_hour_first,43,6,18,10551,8447,2104,7789,6040,0,0,0.0,1.0,0.8042744757445447
seven_day_first,43,6,18,10527,8447,2080,7861,5942,0,0,0.0,1.0,0.8006598590618387
weighted_score,43,6,18,10733,8447,2286,8085,6289,0,0,0.0,1.0,0.795373472055534
reset_aware_weekly_priority,43,6,18,10672,8447,2225,8075,6094,0,0,0.0,1.0,0.7927260769769914
five_hour_first,44,2,13,7757,2917,4840,5414,1876,45,1,0.0,1.0,0.2531938047004254
seven_day_first,44,2,13,7965,2917,5048,5664,1931,202,145,0.0,1.0,0.34926362357280927
weighted_score,44,2,13,7532,2917,4615,5335,1925,76,32,0.0,1.0,0.32446073457894536
reset_aware_weekly_priority,44,2,13,7978,2917,5061,5532,1846,207,150,0.0,1.0,0.3480607074134936
five_hour_first,45,5,12,8627,8610,17,6069,6052,0,0,0.03310835599879518,0.9732308314530206,0.9919325771470673
seven_day_first,45,5,12,8811,8811,0,6240,6240,0,0,0.006578099556658985,0.9911343595187285,0.998455625996207
weighted_score,45,5,12,8786,8786,0,6063,6063,0,0,0.02154687093028761,0.9891164800544935,0.9967569609124206
reset_aware_weekly_priority,45,5,12,8645,8645,0,5927,5927,0,0,0.040374888329198215,0.9750955391039391,0.9934720650774742
five_hour_first,46,5,16,11883,7865,4018,7853,4839,157,2,0.0,1.0,0.5192691646167849
seven_day_first,46,5,16,12232,7865,4367,8217,4912,176,75,0.0,1.0,0.5634566525312061
weighted_score,46,5,16,11838,7865,3973,7748,4775,143,38,0.0,1.0,0.5590022716403775
reset_aware_weekly_priority,46,5,16,12352,7865,4487,8084,4988,139,60,0.0,1.0,0.5647208133338991
