policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,peak_useful_five_hour,weekly_drift,mean_seven_day_utilization,objective_score
weighted_score,19,focused,same_reset,2,19,20815,3237,17578,16451,1840,1793,164,0.06377551020408163,0.0,1.0,0.05115225852608621
reset_aware_weekly_priority,19,focused,same_reset,2,19,20709,3237,17472,16632,1821,1871,271,0.06335034013605442,0.0,1.0,0.05727494216359241
reset_stagger_pressure,19,focused,same_reset,2,19,20288,3237,17051,16202,1833,1380,239,0.06666666666666667,0.0,1.0,0.06431204542478339
reset_near_expiry_reserve,19,focused,same_reset,2,19,20899,3237,17662,16475,1834,1411,205,0.06096938775510204,0.0,1.0,0.056616032404111616
five_hour_first,20,focused,same_reset,2,17,22200,3315,18885,17117,1935,1562,12,0.06428571428571428,0.0,1.0,0.0377023434666133
seven_day_first,20,focused,same_reset,2,17,22217,3315,18902,17443,1891,3033,460,0.05357142857142857,0.0,1.0,0.051804545812959485
weighted_score,20,focused,same_reset,2,17,21780,3315,18465,17114,1910,1793,262,0.061479591836734696,0.0,1.0,0.055219343948528316
reset_aware_weekly_priority,20,focused,same_reset,2,17,22195,3315,18880,17246,1928,2305,359,0.05671768707482993,0.0,1.0,0.05390478383673783
reset_stagger_pressure,20,focused,same_reset,2,17,21862,3315,18547,17023,1951,1563,63,0.05892857142857143,0.0,1.0,0.04266075904750144
reset_near_expiry_reserve,20,focused,same_reset,2,17,21639,3315,18324,16832,1940,1380,94,0.05986394557823129,0.0,1.0,0.047310424326865136
five_hour_first,21,focused,same_reset,3,27,70546,6293,64253,59559,3747,6262,21,0.034580498866213304,0.0,1.0,-0.01988436253220044
seven_day_first,21,focused,same_reset,3,27,69734,6293,63441,59030,3718,12410,1105,0.030215419501133958,0.0,1.0,-0.009634512169962584
weighted_score,21,focused,same_reset,3,27,70818,6293,64525,59823,3726,6823,474,0.03333333333333354,0.0,1.0,-0.012550851598147839
reset_aware_weekly_priority,21,focused,same_reset,3,27,70188,6293,63895,59434,3744,8222,256,0.03548752834467133,0.0,1.0,-0.016098699929836036
reset_stagger_pressure,21,focused,same_reset,3,27,70334,6293,64041,59400,3714,6371,190,0.03333333333333349,0.0,1.0,-0.01685706180279159
reset_near_expiry_reserve,21,focused,same_reset,3,27,70990,6293,64697,59991,3740,6497,236,0.032936507936508146,0.0,1.0,-0.016707719726361703
five_hour_first,22,focused,staggered_reset,2,17,32919,2798,30121,27357,1649,3009,11,0.03086734693877551,0.0,1.0,-0.023841583314587883
seven_day_first,22,focused,staggered_reset,2,17,33506,2798,30708,27785,1652,4761,400,0.03231292517006803,0.0,1.0,-0.015136446486074151
weighted_score,22,focused,staggered_reset,2,17,33090,2798,30292,27365,1649,3285,199,0.028996598639455782,0.0,1.0,-0.017587794977109356
reset_aware_weekly_priority,22,focused,staggered_reset,2,17,32747,2798,29949,27259,1680,3656,283,0.030527210884353742,0.0,1.0,-0.014362876082112896
reset_stagger_pressure,22,focused,staggered_reset,2,17,32651,2798,29853,27071,1668,4035,204,0.030272108843537416,0.0,1.0,-0.017474443879874985
reset_near_expiry_reserve,22,focused,staggered_reset,2,17,32747,2798,29949,26998,1662,3557,354,0.028656462585034015,0.0,1.0,-0.012029659388385877
